21,12,6,2,-2,-6,-12,-21
12,6,3,1,-1,-3,-6,-12
6,3,2,1,-1,-2,-3,-6
2,1,1,0,0,-1,-1,-2
-2,-1,-1,0,0,1,1,2
-6,-3,-2,-1,1,2,3,6
-12,-6,-3,-1,1,3,6,12
-21,-12,-6,-2,2,6,12,21
