LookupTime,FSSTime,MultiplicationTime,RotationTime,AdditionTime,o
8.477625ms,114.667µs,449.625µs,7.106415ms,103.417µs,[1]
8.522ms,114.375µs,430.833µs,7.164333ms,103.707µs,[1]
8.479417ms,115.5µs,430.125µs,7.068625ms,102.001µs,[1]
8.410459ms,114.209µs,425.833µs,7.048581ms,101.875µs,[1]
8.990208ms,115.292µs,426.125µs,7.056415ms,105.667µs,[1]
8.605667ms,114.958µs,449.041µs,7.201459ms,123.415µs,[1]
8.5785ms,114.458µs,442.75µs,7.195ms,104.291µs,[1]
8.4435ms,118.959µs,432.917µs,7.041666ms,101.165µs,[1]
8.447958ms,114.5µs,430µs,7.065876ms,101.751µs,[1]
8.418292ms,114.25µs,451.291µs,7.056503ms,101.835µs,[1]
8.648292ms,114.625µs,430.416µs,7.292252ms,105.123µs,[1]
9.497833ms,114.667µs,445.125µs,7.131375ms,118.543µs,[1]
8.494167ms,114.792µs,424µs,7.060456ms,101.502µs,[1]
8.44575ms,114.542µs,435.542µs,7.074419ms,101.834µs,[1]
8.440167ms,114.583µs,432.166µs,7.093585ms,101.5µs,[1]
8.506208ms,114.25µs,432.791µs,7.164544ms,104.792µs,[1]
8.519084ms,114.542µs,435.917µs,7.149708ms,111.709µs,[1]
8.521208ms,123.5µs,427.916µs,7.03629ms,102.873µs,[1]
9.833792ms,115.5µs,428µs,7.388793ms,101.835µs,[1]
8.416625ms,114.5µs,429µs,7.07179ms,106.25µs,[1]
8.5465ms,115.041µs,431.458µs,7.16329ms,113.083µs,[1]
8.533584ms,113.958µs,437.75µs,7.146917ms,101µs,[1]
8.479083ms,116.75µs,428.917µs,7.034292ms,103.666µs,[1]
8.409208ms,114.875µs,447.25µs,7.048414ms,103.875µs,[1]
8.428917ms,115µs,427.375µs,7.106164ms,102.831µs,[1]
9.130041ms,115.125µs,439.959µs,7.055167ms,102.082µs,[1]
8.443167ms,114.416µs,444.417µs,7.088498ms,101.417µs,[1]
8.435292ms,116.416µs,429µs,7.060125ms,104.043µs,[1]
8.381958ms,114.334µs,428.792µs,7.044209ms,103.125µs,[1]
8.370708ms,114.625µs,426.333µs,7.048833ms,102.585µs,[1]
8.471959ms,115.25µs,430.209µs,7.084584ms,103.084µs,[1]
8.402958ms,114.709µs,432.208µs,7.052999ms,102.125µs,[1]
9.820416ms,115.333µs,426.166µs,7.025416ms,101.29µs,[1]
8.397625ms,114.792µs,438.041µs,7.036874ms,103.042µs,[1]
8.457042ms,116.458µs,432.666µs,7.129832ms,102.207µs,[1]
8.606542ms,114.917µs,429.167µs,7.197499ms,103.293µs,[1]
8.469292ms,114.125µs,431.5µs,7.099706ms,101.249µs,[1]
8.365417ms,115µs,427.5µs,7.030042ms,102.998µs,[1]
8.521625ms,116.083µs,436.708µs,7.159584ms,105.374µs,[1]
9.039334ms,114.875µs,439.833µs,7.168209ms,103.586µs,[1]
8.496ms,115.333µs,428.292µs,7.119001ms,103.916µs,[1]
8.4325ms,114.666µs,428.417µs,7.066167ms,101.958µs,[1]
8.413625ms,114.458µs,444.625µs,7.065124ms,102.415µs,[1]
8.503708ms,114.5µs,433.25µs,7.15425ms,100.834µs,[1]
8.510666ms,120.333µs,428.709µs,7.142707ms,101.706µs,[1]
8.477208ms,115.5µs,426.25µs,7.06996ms,103.708µs,[1]
8.878042ms,114.875µs,432.791µs,7.015374ms,122.125µs,[1]
8.438791ms,114.292µs,442.708µs,7.076583ms,102.542µs,[1]
8.50175ms,115µs,429.708µs,7.145542ms,102.376µs,[1]
8.513084ms,114.25µs,430.291µs,7.136293ms,114.873µs,[1]
8.451458ms,117.666µs,428.709µs,7.036792ms,101.46µs,[1]
8.48025ms,114.834µs,434.542µs,7.080124ms,112.832µs,[1]
8.427041ms,114.5µs,442.875µs,7.085043ms,106.001µs,[1]
9.635ms,114.833µs,425.625µs,7.136082ms,104.291µs,[1]
8.468792ms,113.958µs,439.208µs,7.072998ms,109.542µs,[1]
8.39975ms,115.208µs,434.042µs,7.038916ms,102.998µs,[1]
8.498709ms,114.125µs,440.834µs,7.088ms,103.54µs,[1]
8.4925ms,114.125µs,432.792µs,7.167333ms,100.415µs,[1]
8.464458ms,114.583µs,424.417µs,7.101752ms,101.833µs,[1]
8.515458ms,114.459µs,429.875µs,7.131126ms,102.126µs,[1]
8.9845ms,115µs,443.666µs,7.6305ms,104.042µs,[1]
8.573417ms,115.083µs,444.333µs,7.157083ms,101.624µs,[1]
8.563666ms,114.584µs,443.916µs,7.199042ms,101.585µs,[1]
8.485334ms,114.834µs,429.791µs,7.086291ms,101.248µs,[1]
8.480292ms,114.209µs,425.791µs,7.130209ms,102.874µs,[1]
8.422625ms,114.708µs,431.208µs,7.096251ms,101.292µs,[1]
8.492417ms,114.583µs,428.792µs,7.159752ms,103.123µs,[1]
9.083417ms,120.041µs,426.5µs,7.701709ms,107.959µs,[1]
8.521625ms,121.541µs,428.584µs,7.046833ms,101.334µs,[1]
8.442958ms,114.583µs,429.375µs,7.069834ms,102.378µs,[1]
8.39175ms,114.083µs,440.417µs,7.050708ms,102.04µs,[1]
8.483125ms,114.416µs,430.75µs,7.113793ms,104.083µs,[1]
8.360125ms,114.083µs,440.375µs,7.022585ms,104.584µs,[1]
8.44625ms,115.416µs,427.375µs,7.043626ms,101.5µs,[1]
9.045ms,115.584µs,425.541µs,7.705291ms,102.5µs,[1]
8.350708ms,115.833µs,431µs,7.020208ms,102.917µs,[1]
8.516958ms,122.25µs,443.834µs,7.100375ms,102.791µs,[1]
8.526541ms,114.042µs,431.5µs,7.12525ms,122.999µs,[1]
8.437166ms,114.625µs,430.25µs,7.093041ms,104.958µs,[1]
8.405333ms,114.625µs,427.458µs,7.049501ms,103.625µs,[1]
8.3905ms,114.209µs,428.583µs,7.057873ms,103.457µs,[1]
8.571625ms,115.459µs,429.25µs,7.159793ms,103.168µs,[1]
8.523291ms,114.084µs,429.166µs,7.135501ms,102.333µs,[1]
8.40475ms,114.667µs,432.084µs,7.059419ms,115.211µs,[1]
8.494166ms,114.708µs,436.75µs,7.137124ms,102.126µs,[1]
8.467417ms,114.584µs,427.625µs,7.073417ms,101.292µs,[1]
8.399125ms,115.917µs,428.5µs,7.030915ms,103.083µs,[1]
9.226875ms,115.334µs,427.334µs,7.040376ms,101.334µs,[1]
8.422583ms,115.042µs,442.875µs,7.039209ms,108.292µs,[1]
8.52375ms,114.5µs,433.542µs,7.165251ms,102.208µs,[1]
8.528917ms,114.041µs,431.167µs,7.140126ms,103.29µs,[1]
8.454541ms,117.875µs,428.083µs,7.041375ms,101.501µs,[1]
8.416625ms,114.459µs,433.709µs,7.060001ms,101.416µs,[1]
8.440875ms,114.166µs,424.167µs,7.096499ms,110.041µs,[1]
9.031417ms,115.042µs,430.125µs,7.127207ms,102.25µs,[1]
8.501ms,114.333µs,432.25µs,7.125164ms,108.251µs,[1]
8.40475ms,115.167µs,429.833µs,7.027125ms,101.543µs,[1]
8.494208ms,114.292µs,445.542µs,7.083375ms,102.083µs,[1]
8.460292ms,114.5µs,433.292µs,7.126874ms,100.208µs,[1]
8.392833ms,114.834µs,426.75µs,7.059707ms,101.792µs,[1]
8.421958ms,113.959µs,436.541µs,7.079086ms,101.46µs,[1]
8.727833ms,115.417µs,424.875µs,7.009459ms,100.706µs,[1]
8.453208ms,114.583µs,445.541µs,7.081709ms,102.332µs,[1]
8.440791ms,114.25µs,441.5µs,7.054708ms,101.584µs,[1]
8.497667ms,115.875µs,426.625µs,7.031918ms,102.208µs,[1]
8.367667ms,114.75µs,428.709µs,7.027292ms,102.127µs,[1]
8.3805ms,114.167µs,426µs,7.052332ms,102.625µs,[1]
8.391791ms,114.708µs,433.375µs,7.051667ms,102.582µs,[1]
