LookupTime,FSSTime,MultiplicationTime,RotationTime,AdditionTime,o
8.467791ms,114.584µs,448.791µs,7.083624ms,101.124µs,[1]
8.42875ms,115.125µs,433.375µs,7.071372ms,106.291µs,[1]
9.650625ms,115.375µs,427.333µs,8.23121ms,104.084µs,[1]
8.49275ms,114.209µs,430.333µs,7.106832ms,100.707µs,[1]
8.382ms,114.875µs,426.958µs,7.052831ms,102.501µs,[1]
8.540875ms,115.5µs,432.458µs,7.169416ms,102.086µs,[1]
8.4455ms,114.084µs,430.416µs,7.084624ms,101.919µs,[1]
8.3975ms,115.75µs,427.208µs,7.022167ms,101.21µs,[1]
8.468666ms,115µs,441.5µs,7.058167ms,102.669µs,[1]
9.231542ms,115.208µs,560.041µs,7.763916ms,101.542µs,[1]
8.468209ms,114.458µs,435.333µs,7.114873ms,102.831µs,[1]
8.5145ms,116.542µs,448.625µs,7.135374ms,101.71µs,[1]
8.357916ms,115.334µs,425.042µs,7.016792ms,101.707µs,[1]
8.496209ms,114.583µs,440.042µs,7.096959ms,101.71µs,[1]
8.515459ms,114.5µs,448.5µs,7.139249ms,101.626µs,[1]
8.4975ms,115.25µs,427.834µs,7.08746ms,102.709µs,[1]
9.018958ms,114.834µs,552.416µs,7.486085ms,101.251µs,[1]
8.373959ms,114.25µs,432.875µs,7.044623ms,102.583µs,[1]
8.436834ms,114.792µs,433.916µs,7.089918ms,104.082µs,[1]
8.566209ms,114.167µs,447µs,7.144375ms,104.167µs,[1]
8.382875ms,115.416µs,435µs,7.013624ms,101.417µs,[1]
8.441625ms,119.167µs,447.5µs,7.06325ms,101.334µs,[1]
8.391625ms,114.791µs,433.167µs,7.042291ms,106.501µs,[1]
9.2885ms,114.958µs,429.083µs,7.91621ms,104.917µs,[1]
8.461084ms,114.25µs,430.667µs,7.098459ms,103.459µs,[1]
8.426916ms,115.666µs,427.334µs,7.01921ms,101.04µs,[1]
8.566458ms,114.542µs,459.791µs,7.125792ms,101.249µs,[1]
8.572416ms,114.208µs,439.75µs,7.202082ms,108.708µs,[1]
8.419458ms,115.041µs,427.334µs,7.067459ms,102.166µs,[1]
8.393917ms,114.375µs,427.458µs,7.037958ms,112.708µs,[1]
8.371625ms,115.459µs,427.084µs,7.027959ms,104.042µs,[1]
8.47825ms,116.208µs,434.459µs,7.11221ms,103.373µs,[1]
8.544875ms,120.458µs,438.25µs,7.153291ms,102.999µs,[1]
8.428125ms,116.333µs,430.667µs,7.041542ms,101.333µs,[1]
8.574167ms,116.209µs,435.834µs,7.21425ms,105.625µs,[1]
8.775709ms,130.459µs,426.833µs,7.302502ms,106.833µs,[1]
9.579333ms,131.917µs,491.916µs,8.03021ms,119.919µs,[1]
9.53175ms,130.458µs,486.834µs,7.987833ms,115.415µs,[1]
8.577875ms,115.25µs,505.625µs,7.118376ms,104.789µs,[1]
9.651416ms,138.125µs,488.333µs,8.076958ms,115.54µs,[1]
8.34125ms,114.125µs,426.416µs,7.010167ms,102.208µs,[1]
8.511333ms,114.625µs,432.167µs,7.162166ms,104.792µs,[1]
8.504208ms,114.333µs,429.917µs,7.138957ms,102.582µs,[1]
8.434583ms,117.25µs,433.667µs,7.051876ms,101.333µs,[1]
8.47175ms,114.167µs,441.667µs,7.114085ms,103.667µs,[1]
8.424583ms,116.25µs,433.042µs,7.050832ms,102.126µs,[1]
8.531875ms,115.416µs,444.167µs,7.140083ms,104.584µs,[1]
8.473667ms,115.666µs,437.75µs,7.100334ms,102.832µs,[1]
8.409ms,118.958µs,427.708µs,7.044543ms,101.998µs,[1]
8.377916ms,115.208µs,427.417µs,7.019332ms,102.709µs,[1]
8.384208ms,114.667µs,432.125µs,7.034542ms,101.208µs,[1]
8.741084ms,116.584µs,453µs,7.329209ms,106.375µs,[1]
8.499208ms,116.042µs,458µs,7.104041ms,102.54µs,[1]
8.545292ms,117.25µs,438.125µs,7.114083ms,103.165µs,[1]
8.570334ms,115.875µs,447.125µs,7.193876ms,101.916µs,[1]
8.452458ms,115.083µs,427.833µs,7.100375ms,106.54µs,[1]
8.433667ms,116.417µs,434.292µs,7.0395ms,101.624µs,[1]
8.427125ms,115.416µs,431.417µs,7.056417ms,100.999µs,[1]
8.393292ms,116.208µs,431.042µs,7.04304ms,102.667µs,[1]
8.439583ms,115.75µs,429.625µs,7.072706ms,103.25µs,[1]
8.3775ms,114.541µs,433.708µs,7.034916ms,103.333µs,[1]
8.392292ms,115.875µs,432.333µs,7.037959ms,101.998µs,[1]
8.406333ms,116µs,439.5µs,7.019082ms,101.041µs,[1]
8.427042ms,115.5µs,431.875µs,7.075291ms,104.375µs,[1]
8.465208ms,117.25µs,429.208µs,7.075417ms,101.791µs,[1]
8.508333ms,114.958µs,438.125µs,7.137624ms,105.336µs,[1]
8.37725ms,114.875µs,426.792µs,7.0375ms,102.29µs,[1]
8.49525ms,114.667µs,437.5µs,7.09921ms,105.667µs,[1]
8.552792ms,114.125µs,439.875µs,7.174208ms,101.629µs,[1]
8.390375ms,115.5µs,433.666µs,7.028082ms,102.999µs,[1]
8.495208ms,114.583µs,441µs,7.123918ms,102.915µs,[1]
8.501666ms,114.291µs,426.916µs,7.150461ms,106.416µs,[1]
8.49275ms,121.291µs,432.166µs,7.099206ms,101.833µs,[1]
8.539416ms,114.334µs,428.334µs,7.160625ms,102.46µs,[1]
8.381083ms,115.042µs,439µs,7.038247ms,110.167µs,[1]
8.50575ms,114.083µs,429.917µs,7.176456ms,100.876µs,[1]
8.602ms,114.167µs,441.792µs,7.215127ms,102.248µs,[1]
8.463291ms,116.583µs,427.958µs,7.052541ms,101.708µs,[1]
8.4475ms,122.209µs,434.541µs,7.074541ms,102.916µs,[1]
8.429625ms,115.084µs,435.125µs,7.060002ms,116.54µs,[1]
8.504833ms,115.417µs,441.167µs,7.142332ms,101.375µs,[1]
8.497167ms,114.916µs,433.875µs,7.113916ms,103.375µs,[1]
8.44825ms,116.75µs,429.542µs,7.082292ms,102.124µs,[1]
8.528875ms,114.542µs,436.583µs,7.115043ms,108.041µs,[1]
8.459625ms,114.5µs,430.167µs,7.098293ms,111.956µs,[1]
8.737042ms,119.25µs,429.334µs,7.328292ms,106.334µs,[1]
8.362917ms,115µs,425.208µs,7.031581ms,101.793µs,[1]
8.373292ms,114.417µs,436.166µs,7.034585ms,102.625µs,[1]
8.609667ms,114.709µs,448.208µs,7.187916ms,116.083µs,[1]
8.523791ms,114.291µs,432.459µs,7.173875ms,102.666µs,[1]
8.441208ms,117.667µs,423.5µs,7.038167ms,102.582µs,[1]
8.522042ms,114.791µs,445.667µs,7.075501ms,102.915µs,[1]
8.456833ms,114.208µs,447.708µs,7.111876ms,102.584µs,[1]
8.540916ms,114.833µs,432.917µs,7.16796ms,102.126µs,[1]
8.49425ms,114.458µs,433.584µs,7.13375ms,103.543µs,[1]
8.416917ms,115.875µs,430.667µs,7.037252ms,100.959µs,[1]
8.52225ms,114.709µs,442.166µs,7.109126ms,112.751µs,[1]
8.525458ms,114.125µs,427.833µs,7.175959ms,102.251µs,[1]
8.499083ms,116µs,427.167µs,7.109833ms,101.542µs,[1]
8.436333ms,114.75µs,428.125µs,7.079292ms,102.791µs,[1]
8.421834ms,114.666µs,449.667µs,7.054541ms,102.874µs,[1]
8.516792ms,114.625µs,425.792µs,7.175832ms,102.709µs,[1]
8.432167ms,114.375µs,433.583µs,7.091836ms,101.498µs,[1]
8.414125ms,115.708µs,432.166µs,7.027583ms,102.417µs,[1]
8.483833ms,114.458µs,446.291µs,7.076167ms,115.127µs,[1]
8.497334ms,114.292µs,431.333µs,7.159376ms,102.292µs,[1]
8.499875ms,122.333µs,444.292µs,7.089793ms,103.04µs,[1]
8.481667ms,115µs,430.084µs,7.093876ms,103.916µs,[1]
8.382333ms,115µs,434.875µs,7.032125ms,101.667µs,[1]
8.568959ms,115.792µs,432.791µs,7.205831ms,103.208µs,[1]
8.528458ms,113.875µs,432.708µs,7.147125ms,102.625µs,[1]
8.528417ms,115.5µs,427.125µs,7.032042ms,116.748µs,[1]
8.43825ms,114.75µs,426.834µs,7.059083ms,102.876µs,[1]
8.462334ms,114.208µs,437.333µs,7.121961ms,101.291µs,[1]
8.526334ms,115.041µs,442.041µs,7.125665ms,101.876µs,[1]
8.568ms,114.125µs,443.75µs,7.169251ms,104.25µs,[1]
8.383667ms,118.417µs,428.583µs,7.023125ms,101.541µs,[1]
8.542375ms,114.875µs,438.958µs,7.126792ms,121.334µs,[1]
8.437709ms,114.417µs,436.375µs,7.103498ms,100.168µs,[1]
8.480583ms,115.625µs,424.208µs,7.096708ms,102.084µs,[1]
9.111708ms,114.834µs,428.958µs,7.104249ms,101.833µs,[1]
8.397792ms,115.375µs,452.292µs,7.037583ms,107.668µs,[1]
8.555583ms,114.875µs,441.875µs,7.168999ms,104.042µs,[1]
8.542333ms,114.292µs,436.792µs,7.19071ms,100.417µs,[1]
8.398084ms,118.917µs,425.292µs,7.022625ms,103.457µs,[1]
8.446041ms,114.792µs,453.583µs,7.06329ms,102.75µs,[1]
8.345875ms,114.541µs,426.167µs,7.022414ms,102.125µs,[1]
8.89875ms,115.208µs,428.333µs,7.155914ms,106.416µs,[1]
8.504666ms,114.25µs,429.625µs,7.113956ms,103µs,[1]
8.415667ms,115.292µs,428.958µs,7.022123ms,103.458µs,[1]
8.498417ms,114.459µs,446.875µs,7.120708ms,102.543µs,[1]
8.476833ms,114µs,440.625µs,7.119375ms,108.209µs,[1]
8.471041ms,114.958µs,427.375µs,7.070708ms,100.666µs,[1]
8.471ms,114.375µs,425.75µs,7.123502ms,101.918µs,[1]
9.13275ms,115.292µs,425.375µs,7.032666ms,102.458µs,[1]
8.509542ms,133.042µs,451.75µs,7.132792ms,105.291µs,[1]
8.536333ms,114.375µs,427.958µs,7.161874ms,105.625µs,[1]
8.425417ms,117.042µs,428.625µs,7.056333ms,101.832µs,[1]
8.463375ms,114.041µs,435.666µs,7.070002ms,113.623µs,[1]
8.48275ms,114.459µs,442.166µs,7.143751ms,101.459µs,[1]
8.521458ms,114.709µs,427.583µs,7.147209ms,104.707µs,[1]
9.658417ms,115.375µs,431.209µs,7.120458ms,102.791µs,[1]
8.387417ms,115.916µs,424.542µs,7.026332ms,101.541µs,[1]
8.534084ms,122.542µs,448.458µs,7.126791ms,101.835µs,[1]
8.474584ms,114.5µs,427.917µs,7.13829ms,104.626µs,[1]
8.486375ms,115.292µs,428.5µs,7.086625ms,102.624µs,[1]
8.513208ms,114.458µs,439.542µs,7.132709ms,102.958µs,[1]
8.384125ms,115.458µs,448.792µs,7.022583ms,101.5µs,[1]
8.549666ms,114.625µs,431.5µs,7.201085ms,102.166µs,[1]
8.485541ms,115µs,431.75µs,7.086667ms,117.207µs,[1]
8.527042ms,115.542µs,428.375µs,7.074749ms,103.125µs,[1]
8.452083ms,114.917µs,445.208µs,7.049165ms,101.417µs,[1]
8.438583ms,114.291µs,445.084µs,7.092626ms,103.459µs,[1]
8.496333ms,114.916µs,430.416µs,7.126459ms,102.542µs,[1]
8.556458ms,114.458µs,430.166µs,7.191709ms,108.876µs,[1]
9.381416ms,115.583µs,423.041µs,7.023585ms,102.372µs,[1]
8.513417ms,114.667µs,444.333µs,7.101ms,106.791µs,[1]
8.494042ms,114µs,450.291µs,7.137831ms,107.792µs,[1]
8.5385ms,115.209µs,431.459µs,7.142169ms,102.207µs,[1]
8.544292ms,114.292µs,428.5µs,7.178376ms,102.834µs,[1]
8.374875ms,114.708µs,430.208µs,7.045498ms,101.251µs,[1]
8.503458ms,114.875µs,430.166µs,7.154959ms,103.001µs,[1]
8.588459ms,114.208µs,428µs,7.19275ms,114.084µs,[1]
8.382917ms,115.458µs,429.209µs,7.018416ms,101.168µs,[1]
8.461ms,114.125µs,451µs,7.080873ms,101.168µs,[1]
8.438875ms,114.666µs,450.625µs,7.070583ms,102.916µs,[1]
8.546209ms,114.583µs,427.292µs,7.155043ms,102.376µs,[1]
8.572875ms,114.084µs,428.042µs,7.18575ms,116.707µs,[1]
8.351209ms,127.458µs,430.791µs,7.007625ms,102.959µs,[1]
8.535042ms,114.541µs,439µs,7.137875ms,116.833µs,[1]
8.521792ms,114.083µs,441.75µs,7.133291ms,107.543µs,[1]
8.446083ms,114.833µs,427.334µs,7.05946ms,103µs,[1]
8.393709ms,114.625µs,429.916µs,7.021165ms,102.875µs,[1]
8.449833ms,113.833µs,426.5µs,7.116584ms,113.458µs,[1]
8.502958ms,114.667µs,431.417µs,7.154544ms,103.043µs,[1]
8.451042ms,114.292µs,427.209µs,7.074877ms,103.46µs,[1]
8.433667ms,116.084µs,425.916µs,7.014ms,101.999µs,[1]
8.498917ms,114.416µs,437.875µs,7.090626ms,109.915µs,[1]
8.476916ms,114.333µs,434.625µs,7.141958ms,103.793µs,[1]
8.543125ms,115.459µs,437.334µs,7.125834ms,103.124µs,[1]
8.468042ms,114.125µs,430.959µs,7.12779ms,101.086µs,[1]
8.370042ms,115.041µs,428.458µs,7.027333ms,106.167µs,[1]
8.585084ms,115µs,446.167µs,7.186208ms,102.834µs,[1]
8.483083ms,114.458µs,435.625µs,7.132459ms,100.958µs,[1]
8.464542ms,116.875µs,428.541µs,7.034542ms,103.374µs,[1]
8.4275ms,120.166µs,427.708µs,7.062375ms,102.791µs,[1]
8.463542ms,114.584µs,445.708µs,7.118166ms,101.666µs,[1]
8.49125ms,114.792µs,441.292µs,7.135793ms,102.376µs,[1]
8.477292ms,114.458µs,435.958µs,7.104042ms,103.085µs,[1]
8.410208ms,115.417µs,424.792µs,7.017294ms,101.709µs,[1]
8.507708ms,114.708µs,438.75µs,7.115459ms,115.955µs,[1]
8.447209ms,114.291µs,427µs,7.107541ms,102.75µs,[1]
8.489292ms,115.167µs,428.042µs,7.086751ms,101.832µs,[1]
8.435ms,114.25µs,427.917µs,7.073667ms,101.957µs,[1]
8.393084ms,114.292µs,438.292µs,7.039041ms,106.793µs,[1]
8.484ms,114.583µs,430.792µs,7.143459ms,103.041µs,[1]
8.518916ms,114.125µs,436.792µs,7.125252ms,105.875µs,[1]
8.458833ms,124.75µs,430.084µs,7.056791ms,102.041µs,[1]
8.521917ms,115µs,428.917µs,7.12479ms,101.331µs,[1]
8.430709ms,116.167µs,436.375µs,7.07896ms,106.124µs,[1]
8.517292ms,116.5µs,458.458µs,7.095206ms,102.54µs,[1]
8.463667ms,114.458µs,435.625µs,7.060958ms,102.835µs,[1]
8.404584ms,115.333µs,440.542µs,7.021416ms,103.333µs,[1]
8.524209ms,115µs,450.375µs,7.113417ms,114.416µs,[1]
8.505834ms,114.291µs,430.667µs,7.157835ms,101.292µs,[1]
8.525125ms,115.625µs,429.125µs,7.130459ms,103.998µs,[1]
8.513542ms,114.334µs,427µs,7.119876ms,102.625µs,[1]
8.413375ms,114.625µs,441.208µs,7.067082ms,103.792µs,[1]
8.520958ms,115.125µs,435.875µs,7.171083ms,103.666µs,[1]
8.376084ms,114.083µs,427.666µs,7.038126ms,102.458µs,[1]
8.521125ms,119µs,431µs,7.082665ms,101.374µs,[1]
8.507791ms,114.458µs,445.875µs,7.070752ms,111.543µs,[1]
8.409542ms,114.666µs,427.75µs,7.063624ms,101.417µs,[1]
8.560334ms,115.25µs,429.834µs,7.157208ms,102.582µs,[1]
8.511792ms,114.083µs,431.292µs,7.137334ms,101.708µs,[1]
8.405833ms,115.166µs,439.709µs,7.052083ms,102.624µs,[1]
8.593416ms,114.75µs,449.917µs,7.195959ms,104.874µs,[1]
8.478709ms,114.5µs,427.625µs,7.104669ms,105.044µs,[1]
8.447083ms,115µs,427.125µs,7.069335ms,101.626µs,[1]
8.455084ms,114.416µs,428.083µs,7.097209ms,102.418µs,[1]
8.3855ms,114.583µs,426.833µs,7.052207ms,103.04µs,[1]
8.518417ms,115.208µs,432.583µs,7.163834ms,102.878µs,[1]
8.497042ms,113.791µs,427.792µs,7.13479ms,101.251µs,[1]
8.383917ms,116.625µs,427.25µs,7.022542ms,103.5µs,[1]
8.50575ms,114.875µs,458.75µs,7.101206ms,104.458µs,[1]
8.46475ms,114.125µs,424.791µs,7.120874ms,116.752µs,[1]
8.453958ms,115.416µs,427.542µs,7.075999ms,101.334µs,[1]
8.599333ms,114.625µs,451.416µs,7.190584ms,102.792µs,[1]
8.387625ms,114.583µs,439.625µs,7.044999ms,108.624µs,[1]
8.659333ms,115.333µs,442.042µs,7.29954ms,104.042µs,[1]
8.375167ms,115.25µs,425.75µs,7.049876ms,102.042µs,[1]
8.441208ms,115.416µs,429.709µs,7.057252ms,102.876µs,[1]
8.379167ms,114.25µs,427.25µs,7.0355ms,102.707µs,[1]
8.447875ms,114.375µs,428.875µs,7.109625ms,102.96µs,[1]
8.493583ms,114.792µs,428.125µs,7.119208ms,102.043µs,[1]
8.514083ms,114.291µs,429µs,7.122082ms,119.25µs,[1]
8.348167ms,117.333µs,427.791µs,7.017624ms,101.584µs,[1]
8.494708ms,114.5µs,431.125µs,7.116416ms,105.249µs,[1]
8.528041ms,114.334µs,430µs,7.176291ms,105µs,[1]
8.47175ms,115.084µs,427.208µs,7.050668ms,101.209µs,[1]
8.483083ms,114.167µs,428.625µs,7.115208ms,102.75µs,[1]
8.433875ms,114.042µs,454.334µs,7.075502ms,104.085µs,[1]
8.541667ms,114.917µs,433.167µs,7.189249ms,101.709µs,[1]
8.590167ms,119.75µs,445.083µs,7.194041ms,102.083µs,[1]
8.386875ms,115.583µs,428.041µs,7.031415ms,101.834µs,[1]
8.486375ms,114.875µs,452.334µs,7.085957ms,107.627µs,[1]
8.453667ms,114.083µs,452.417µs,7.101084ms,101.626µs,[1]
8.48875ms,115.25µs,426.292µs,7.090541ms,103.624µs,[1]
8.516542ms,114.416µs,428µs,7.142709ms,103.376µs,[1]
8.352834ms,115.083µs,424.459µs,7.024253ms,102.003µs,[1]
8.494916ms,114.375µs,427.292µs,7.121461ms,107.708µs,[1]
8.555542ms,114.042µs,439.917µs,7.200789ms,102.415µs,[1]
8.472459ms,115.334µs,425.541µs,7.0535ms,101.711µs,[1]
8.498708ms,114.084µs,455.125µs,7.093124ms,102.207µs,[1]
8.453417ms,114.417µs,425.916µs,7.096706ms,106.751µs,[1]
8.408875ms,114.542µs,428.167µs,7.079625ms,102.417µs,[1]
8.368125ms,114.083µs,428.208µs,7.033625ms,100.707µs,[1]
8.4255ms,115.166µs,427.291µs,7.02725ms,103.167µs,[1]
8.464917ms,119.334µs,431.125µs,7.088376ms,115.875µs,[1]
8.475084ms,114.5µs,426.334µs,7.151875ms,101.167µs,[1]
8.597375ms,118.5µs,438.875µs,7.186584ms,103.374µs,[1]
8.476917ms,114.375µs,427.709µs,7.116167ms,102.834µs,[1]
8.410625ms,114.75µs,443µs,7.063041ms,108.25µs,[1]
8.494666ms,114.917µs,432.833µs,7.150833ms,102µs,[1]
8.5165ms,114.417µs,427.209µs,7.164706ms,101.753µs,[1]
8.434583ms,117.541µs,426.166µs,7.042207ms,102.082µs,[1]
8.501458ms,122.042µs,436.625µs,7.083625ms,117.918µs,[1]
8.468959ms,114.125µs,437.875µs,7.131083ms,107.336µs,[1]
8.573708ms,115.167µs,444.041µs,7.160085ms,104.25µs,[1]
8.46375ms,114.375µs,446.542µs,7.078876ms,103.25µs,[1]
8.391625ms,115.833µs,431.833µs,7.033503ms,102.458µs,[1]
8.557458ms,114.417µs,457.584µs,7.128875ms,120.916µs,[1]
8.597416ms,114.25µs,428.541µs,7.24204ms,106.666µs,[1]
8.515584ms,115.25µs,427µs,7.113249ms,113.208µs,[1]
8.435875ms,114.209µs,428.084µs,7.092835ms,102.126µs,[1]
8.4365ms,114.917µs,428.125µs,7.086916ms,104.792µs,[1]
8.502125ms,114.167µs,429.542µs,7.155416ms,101.46µs,[1]
8.429584ms,114.25µs,427.333µs,7.044541ms,110.375µs,[1]
8.41325ms,116.166µs,428.667µs,7.035752ms,101.541µs,[1]
8.511375ms,121.5µs,428.5µs,7.13875ms,102.751µs,[1]
8.526375ms,114.291µs,441.917µs,7.181958ms,102.75µs,[1]
8.486792ms,115.083µs,426.416µs,7.118835ms,102.291µs,[1]
8.556583ms,114.584µs,447.792µs,7.150833ms,103.333µs,[1]
8.376916ms,114.916µs,437.083µs,7.037585ms,102.333µs,[1]
8.4735ms,115.541µs,452.834µs,7.099665ms,102.917µs,[1]
8.55625ms,113.834µs,444.417µs,7.176251ms,101.377µs,[1]
8.474125ms,115.209µs,430.291µs,7.068332ms,115.209µs,[1]
8.474125ms,114.584µs,446.125µs,7.099042ms,102.124µs,[1]
8.408834ms,114.333µs,427.625µs,7.080168ms,102.417µs,[1]
8.501416ms,115.375µs,433.041µs,7.146166ms,102.333µs,[1]
8.537708ms,114.542µs,429.209µs,7.139334ms,102.251µs,[1]
8.463166ms,116.583µs,424.833µs,7.044833ms,100.789µs,[1]
8.488875ms,114.458µs,439.375µs,7.085169ms,109.709µs,[1]
8.390542ms,114.583µs,449.333µs,7.035374ms,104.082µs,[1]
8.475875ms,115.5µs,426.541µs,7.101706ms,102.085µs,[1]
8.503625ms,114.834µs,426.958µs,7.125459ms,101.541µs,[1]
8.378083ms,115.042µs,432.791µs,7.037457ms,109.292µs,[1]
8.46625ms,118.417µs,434.583µs,7.101625ms,105.456µs,[1]
8.50725ms,114.416µs,437.833µs,7.121792ms,102.084µs,[1]
8.429333ms,115.25µs,427.75µs,7.052415ms,102.21µs,[1]
8.450583ms,115.458µs,455.042µs,7.056544ms,103.501µs,[1]
8.404042ms,114.458µs,444.166µs,7.051166ms,109.251µs,[1]
8.606083ms,115.209µs,447.042µs,7.18975ms,101.751µs,[1]
8.567166ms,114.292µs,434.375µs,7.155999ms,102µs,[1]
8.418ms,115.084µs,427.75µs,7.023668ms,103.251µs,[1]
8.502125ms,114.584µs,449.417µs,7.101333ms,108.542µs,[1]
8.568125ms,113.875µs,436.5µs,7.232541ms,104.167µs,[1]
8.473ms,125.125µs,430.916µs,7.059084ms,102.251µs,[1]
8.508375ms,114.334µs,425.917µs,7.14121ms,102.29µs,[1]
8.449458ms,114.334µs,436.75µs,7.095293ms,110.002µs,[1]
8.48725ms,114.791µs,427.833µs,7.154499ms,102.833µs,[1]
8.587ms,114.125µs,448.416µs,7.17725ms,107.585µs,[1]
8.443916ms,116.791µs,423.167µs,7.025126ms,101.749µs,[1]
8.47ms,114.375µs,441.75µs,7.063167ms,122.707µs,[1]
8.449458ms,114.083µs,425.459µs,7.118043ms,103.707µs,[1]
8.558292ms,116.041µs,428.792µs,7.178958ms,102.999µs,[1]
8.500917ms,114.042µs,428.167µs,7.108168ms,101.709µs,[1]
8.408375ms,116.208µs,445.667µs,7.024ms,103.332µs,[1]
8.502125ms,114.833µs,441.833µs,7.124211ms,102.625µs,[1]
8.550167ms,114.583µs,442.375µs,7.173835ms,101.623µs,[1]
8.528875ms,115.167µs,434.875µs,7.123832ms,107.251µs,[1]
8.446375ms,114.083µs,427.375µs,7.086833ms,100.71µs,[1]
8.427917ms,114.417µs,434.709µs,7.075667ms,106.417µs,[1]
8.497417ms,115.375µs,430.334µs,7.153833ms,102.333µs,[1]
8.457583ms,114.625µs,428.917µs,7.067415ms,101.583µs,[1]
8.463375ms,116.541µs,428.542µs,7.0375ms,102.042µs,[1]
8.547166ms,114.541µs,435.208µs,7.143167ms,103.123µs,[1]
8.405459ms,114.542µs,440.75µs,7.052794ms,101.375µs,[1]
8.48575ms,121.792µs,429.125µs,7.086249ms,102.794µs,[1]
8.473958ms,114.125µs,428.666µs,7.110627ms,102.248µs,[1]
8.391791ms,114.125µs,436.666µs,7.044834ms,111.251µs,[1]
8.56875ms,114.792µs,429.875µs,7.204543ms,104.086µs,[1]
8.489958ms,114.375µs,431.541µs,7.141459ms,103.125µs,[1]
8.475875ms,122.125µs,428.875µs,7.049084ms,103.251µs,[1]
8.486583ms,114.417µs,437.458µs,7.098875ms,102.666µs,[1]
8.443917ms,114.375µs,450.416µs,7.087916ms,102µs,[1]
8.418916ms,115µs,432.125µs,7.059542ms,102.416µs,[1]
9.308083ms,114.708µs,441.333µs,7.105666ms,114.835µs,[1]
8.3795ms,115.958µs,426.75µs,7.024833ms,102.083µs,[1]
8.599667ms,114.709µs,446.958µs,7.161249ms,105.167µs,[1]
8.477875ms,114.084µs,433.292µs,7.122207ms,113.835µs,[1]
8.502583ms,114.792µs,426.875µs,7.091375ms,103.918µs,[1]
8.459292ms,114.041µs,430.416µs,7.100291ms,101.665µs,[1]
8.393334ms,114.417µs,446.25µs,7.047667ms,108.456µs,[1]
8.484459ms,114.958µs,430µs,7.068084ms,113.375µs,[1]
8.534458ms,117.291µs,439.792µs,7.129127ms,103.835µs,[1]
8.400667ms,118.375µs,428.875µs,7.040874ms,102.124µs,[1]
8.49025ms,114.5µs,448.917µs,7.094545ms,101.709µs,[1]
8.416958ms,114.833µs,432.209µs,7.074623ms,101.21µs,[1]
8.496334ms,115µs,429.625µs,7.115792ms,104.458µs,[1]
8.480208ms,114.625µs,428.042µs,7.115832ms,101.791µs,[1]
8.380833ms,115.041µs,438.792µs,7.033793ms,101.834µs,[1]
8.556167ms,114.708µs,451.208µs,7.131415ms,116.416µs,[1]
8.493792ms,114.459µs,444.042µs,7.143709ms,102.085µs,[1]
8.447667ms,123.791µs,429.417µs,7.058334ms,101.543µs,[1]
8.512125ms,114.083µs,425.5µs,7.132043ms,103.084µs,[1]
8.449916ms,114.417µs,437.917µs,7.103956ms,101.332µs,[1]
8.5275ms,114.667µs,432.5µs,7.178834ms,101.999µs,[1]
8.574458ms,113.916µs,446.917µs,7.192043ms,101.249µs,[1]
8.410875ms,115.458µs,424.959µs,7.053251ms,102.21µs,[1]
8.542875ms,114.375µs,451.458µs,7.122751ms,103.792µs,[1]
8.533792ms,114.125µs,453.209µs,7.174084ms,101.751µs,[1]
8.5205ms,115.584µs,425.792µs,7.095416ms,102.042µs,[1]
8.478041ms,115.042µs,438.625µs,7.111165ms,101.791µs,[1]
8.356125ms,115.083µs,431.208µs,7.016457ms,108.5µs,[1]
8.585333ms,114.166µs,457.792µs,7.185628ms,109.707µs,[1]
8.493125ms,123.208µs,425.583µs,7.104169ms,101.624µs,[1]
8.528375ms,116.625µs,433.167µs,7.034083ms,102.499µs,[1]
8.461292ms,117.666µs,441.333µs,7.055208ms,102.498µs,[1]
8.426583ms,114µs,426.208µs,7.079874ms,102.126µs,[1]
8.524458ms,114.958µs,433.25µs,7.145793ms,104.917µs,[1]
8.445625ms,114.667µs,430.042µs,7.088456ms,101.833µs,[1]
9.086292ms,115.958µs,425.166µs,7.015957ms,101.208µs,[1]
8.427708ms,114.833µs,428.792µs,7.062918ms,103.042µs,[1]
8.481958ms,114.542µs,427.084µs,7.152374ms,102.583µs,[1]
8.491625ms,118.125µs,425.083µs,7.074417ms,101.208µs,[1]
8.484334ms,114.709µs,428.042µs,7.108295ms,101.501µs,[1]
8.4ms,114.583µs,438.833µs,7.059501ms,101.876µs,[1]
8.494417ms,114.875µs,440.541µs,7.144668ms,102.25µs,[1]
8.981459ms,114.708µs,439.625µs,7.113043ms,115.833µs,[1]
8.482791ms,120.375µs,428.5µs,7.032041ms,102.123µs,[1]
8.456875ms,114.5µs,431.334µs,7.079875ms,102.458µs,[1]
8.466583ms,114.709µs,437.792µs,7.111501ms,102.626µs,[1]
8.507583ms,114.916µs,430.458µs,7.129582ms,103.833µs,[1]
8.523709ms,114.084µs,426.417µs,7.156834ms,100.958µs,[1]
8.383375ms,114.917µs,426.167µs,7.052082ms,101.75µs,[1]
9.55675ms,115.542µs,457.291µs,7.191959ms,102.666µs,[1]
8.509ms,114.375µs,429.25µs,7.147417ms,107.916µs,[1]
8.478208ms,114.958µs,426.083µs,7.089917ms,103µs,[1]
8.44425ms,113.958µs,427.25µs,7.095916ms,102.542µs,[1]
