LookupTime,FSSTime,MultiplicationTime,RotationTime,AdditionTime,o
8.451417ms,118.167µs,426.583µs,7.055041ms,102.334µs,[1]
8.44075ms,115.208µs,427.292µs,7.042375ms,101.167µs,[1]
8.598958ms,115.125µs,429.208µs,7.103459ms,103.292µs,[1]
9.454ms,115.375µs,1.404291ms,7.123293ms,104.126µs,[1]
8.452459ms,115.917µs,438.292µs,7.076167ms,102.167µs,[1]
8.422875ms,119.666µs,429.792µs,7.035501ms,102.041µs,[1]
8.436ms,115.458µs,429.167µs,7.055624ms,103.084µs,[1]
8.390125ms,114.958µs,429.208µs,7.0405ms,102.043µs,[1]
8.394458ms,116.625µs,426.375µs,7.044251ms,102.708µs,[1]
8.429959ms,115.292µs,427.833µs,7.080126ms,101.626µs,[1]
8.962375ms,115.667µs,966.875µs,7.066958ms,103.752µs,[1]
8.529208ms,118.5µs,436.75µs,7.153167ms,103.917µs,[1]
8.427333ms,115.125µs,432.75µs,7.067335ms,102.041µs,[1]
8.466625ms,116.25µs,450.833µs,7.032124ms,101.834µs,[1]
8.457667ms,115.083µs,427.459µs,7.081458ms,102.999µs,[1]
8.435625ms,115.375µs,439.5µs,7.06575ms,101.752µs,[1]
8.499ms,115.625µs,429.125µs,7.143833ms,103.707µs,[1]
8.426583ms,115.417µs,430.292µs,7.05954ms,117.997µs,[1]
8.42325ms,116.208µs,434.792µs,7.060043ms,101.832µs,[1]
8.483583ms,115.458µs,430.459µs,7.113997ms,103.542µs,[1]
8.388916ms,115.417µs,438µs,7.040916ms,102.874µs,[1]
8.512667ms,116.375µs,440.166µs,7.053503ms,102.166µs,[1]
8.42775ms,115.708µs,432.5µs,7.057126ms,103.208µs,[1]
8.426708ms,115.041µs,436.417µs,7.036999ms,102.041µs,[1]
8.469125ms,115.458µs,431.625µs,7.0885ms,102.375µs,[1]
8.4ms,114.875µs,425.708µs,7.050002ms,102.707µs,[1]
8.42175ms,115.75µs,430.167µs,7.067209ms,103.747µs,[1]
8.435667ms,115.458µs,428.917µs,7.083165ms,102.249µs,[1]
8.477167ms,117.5µs,483.625µs,7.063582ms,101.585µs,[1]
8.450375ms,116.084µs,432.834µs,7.0435ms,107.625µs,[1]
8.48ms,115.416µs,428.167µs,7.10925ms,101.916µs,[1]
8.420084ms,115.25µs,429.625µs,7.070666ms,103.251µs,[1]
8.548875ms,115.791µs,430.5µs,7.17979ms,103.291µs,[1]
8.41175ms,115.208µs,432.417µs,7.053501ms,101.083µs,[1]
8.371875ms,115.333µs,428.208µs,7.023918ms,103.124µs,[1]
8.465166ms,115.125µs,428.625µs,7.112751ms,101.457µs,[1]
8.43475ms,114.75µs,428.625µs,7.069042ms,103.04µs,[1]
8.503083ms,115.708µs,431.25µs,7.042583ms,101.417µs,[1]
8.45575ms,114.958µs,428.834µs,7.069539ms,102.542µs,[1]
8.443959ms,117.125µs,433.333µs,7.094458ms,101.918µs,[1]
8.53925ms,115.625µs,430.083µs,7.171543ms,102.874µs,[1]
8.457084ms,115.167µs,436.542µs,7.081667ms,101.042µs,[1]
8.410625ms,115.292µs,430.375µs,7.06175ms,106.126µs,[1]
8.437833ms,115.208µs,436.042µs,7.06871ms,103.126µs,[1]
9.44275ms,115.167µs,455.417µs,7.045625ms,102.877µs,[1]
8.539542ms,115.916µs,425.917µs,7.155959ms,105.167µs,[1]
8.491917ms,115.583µs,455.75µs,7.096251ms,101.958µs,[1]
8.398083ms,115.375µs,428.833µs,7.045127ms,108.042µs,[1]
8.627416ms,115.541µs,430.291µs,7.260626ms,103.125µs,[1]
8.387959ms,114.875µs,427.417µs,7.036293ms,104.209µs,[1]
8.390875ms,115.75µs,441.125µs,7.036668ms,101.626µs,[1]
10.316708ms,130.792µs,527.959µs,7.083123ms,103.044µs,[1]
8.41325ms,115.042µs,428.875µs,7.055417ms,103.21µs,[1]
8.620625ms,118.125µs,430.583µs,7.183751ms,102.708µs,[1]
8.484333ms,115.083µs,432µs,7.116168ms,101.501µs,[1]
8.410334ms,116.416µs,430.709µs,7.061166ms,102.625µs,[1]
8.411417ms,115.125µs,427.75µs,7.070748ms,102.709µs,[1]
8.447917ms,115.208µs,434.875µs,7.099918ms,101.875µs,[1]
9.393333ms,115.709µs,432.084µs,7.044959ms,101.208µs,[1]
8.472375ms,115.333µs,461.25µs,7.076834ms,101.751µs,[1]
8.416584ms,115.25µs,431.25µs,7.058753ms,101.584µs,[1]
8.582166ms,115.417µs,428.583µs,7.059293ms,102.75µs,[1]
8.50625ms,115.375µs,438.5µs,7.096292ms,109.956µs,[1]
8.390625ms,115.5µs,428.542µs,7.046457ms,101.708µs,[1]
8.541083ms,115.875µs,430.25µs,7.147374ms,120.207µs,[1]
9.67975ms,116.292µs,426.542µs,7.120418ms,102.251µs,[1]
8.427584ms,115.292µs,430.666µs,7.064874ms,101.041µs,[1]
8.589459ms,116.125µs,441.833µs,7.199375ms,105.167µs,[1]
8.636584ms,115.416µs,444.792µs,7.259ms,111.834µs,[1]
8.436292ms,118.458µs,427.834µs,7.037417ms,103.876µs,[1]
8.416042ms,118.584µs,433.625µs,7.062082ms,110.582µs,[1]
8.382583ms,115.459µs,435.583µs,7.031123ms,101.082µs,[1]
9.58725ms,115.541µs,504.792µs,7.11175ms,102.503µs,[1]
8.571375ms,115.042µs,545.167µs,7.082833ms,101.667µs,[1]
8.402875ms,163.375µs,432.542µs,7.035624ms,110.748µs,[1]
8.472875ms,115.75µs,437.708µs,7.061709ms,102.04µs,[1]
8.402125ms,115.333µs,435.625µs,7.047544ms,101.833µs,[1]
8.42625ms,118.625µs,427.292µs,7.039248ms,102.374µs,[1]
8.453541ms,115µs,429.25µs,7.097583ms,101.79µs,[1]
9.282584ms,116.583µs,426.834µs,7.928749ms,108.5µs,[1]
8.435167ms,115.625µs,432.5µs,7.082877ms,102.793µs,[1]
8.443667ms,115.042µs,432.791µs,7.08575ms,101.919µs,[1]
8.40875ms,115.291µs,429.125µs,7.066791ms,102.625µs,[1]
8.469167ms,115.208µs,462.541µs,7.082832ms,103.042µs,[1]
8.39375ms,115.042µs,435.125µs,7.040708ms,103.164µs,[1]
8.414042ms,139.834µs,427.708µs,7.038291ms,101.832µs,[1]
9.661625ms,115.125µs,431.458µs,7.117582ms,101.583µs,[1]
8.409583ms,115.25µs,430.125µs,7.065083ms,101.5µs,[1]
8.485125ms,115.417µs,440.625µs,7.105752ms,102.001µs,[1]
8.417083ms,115.208µs,431.167µs,7.067959ms,101.292µs,[1]
8.40925ms,117.5µs,429.166µs,7.037122ms,101.584µs,[1]
8.39975ms,115.75µs,431.459µs,7.049293ms,101.54µs,[1]
8.403333ms,115.75µs,430.125µs,7.052125ms,101.832µs,[1]
11.201334ms,115µs,433.666µs,7.107708ms,102.042µs,[1]
8.451708ms,114.708µs,424.833µs,7.10554ms,101.876µs,[1]
8.405542ms,115.166µs,430.167µs,7.052376ms,103.167µs,[1]
8.59775ms,115.208µs,596.209µs,7.076916ms,101.084µs,[1]
8.451ms,115.167µs,447.25µs,7.074041ms,102.044µs,[1]
8.412ms,114.958µs,426.833µs,7.059665ms,103.667µs,[1]
8.420959ms,115.625µs,429.708µs,7.052209ms,103.124µs,[1]
9.401875ms,115.334µs,432.041µs,7.039042ms,105.084µs,[1]
8.437958ms,115.833µs,430.667µs,7.078541ms,105.457µs,[1]
8.4185ms,116.125µs,429µs,7.060207ms,101.499µs,[1]
8.387834ms,115µs,427.625µs,7.04496ms,101.127µs,[1]
8.430625ms,115.333µs,437.5µs,7.076791ms,101.499µs,[1]
8.406875ms,115.541µs,425.875µs,7.06571ms,104.333µs,[1]
8.417042ms,115.166µs,428.542µs,7.043332ms,101.625µs,[1]
8.675208ms,141.208µs,429.5µs,7.052748ms,103.083µs,[1]
8.411ms,115.042µs,430.084µs,7.056665ms,103.084µs,[1]
8.488417ms,115.125µs,440.792µs,7.119165ms,103.166µs,[1]
8.446583ms,115.125µs,428.375µs,7.092417ms,105.417µs,[1]
8.410583ms,115.583µs,429.75µs,7.065708ms,101.957µs,[1]
8.421667ms,115.458µs,430.458µs,7.068667ms,104.166µs,[1]
8.441667ms,114.792µs,428.875µs,7.085041ms,101.377µs,[1]
9.703208ms,115.542µs,429.333µs,8.340959ms,106.081µs,[1]
8.479417ms,115.625µs,442.125µs,7.087501ms,102.001µs,[1]
8.407167ms,117.125µs,426.292µs,7.046376ms,103.418µs,[1]
8.553541ms,116.375µs,430.5µs,7.191748ms,102.626µs,[1]
8.4315ms,115.584µs,425.958µs,7.085876ms,102.21µs,[1]
8.396416ms,116.292µs,435.625µs,7.041376ms,101.581µs,[1]
8.451292ms,115.292µs,445.041µs,7.085542ms,102.75µs,[1]
9.49825ms,115µs,431.958µs,8.135166ms,117.917µs,[1]
8.792375ms,115.917µs,428.917µs,7.318291ms,103.418µs,[1]
8.452375ms,115.541µs,431.583µs,7.090666ms,101.791µs,[1]
8.410708ms,114.833µs,428.125µs,7.05375ms,101.5µs,[1]
8.502292ms,115.292µs,430.708µs,7.142584ms,102.333µs,[1]
8.462083ms,115.166µs,426.042µs,7.108667ms,107.998µs,[1]
8.383459ms,115.208µs,426.833µs,7.037875ms,102.624µs,[1]
9.476083ms,115.5µs,430.458µs,8.127584ms,103.583µs,[1]
8.427208ms,115.542µs,434.084µs,7.059335ms,103.165µs,[1]
8.665917ms,115.417µs,430.792µs,7.157334ms,103.082µs,[1]
8.445917ms,115.625µs,434.625µs,7.079124ms,101.292µs,[1]
8.410417ms,115.125µs,434.208µs,7.064958ms,102.041µs,[1]
8.457917ms,115.208µs,429.458µs,7.109833ms,103.165µs,[1]
8.441667ms,115.209µs,427.291µs,7.088167ms,103.335µs,[1]
9.56925ms,118.292µs,428.458µs,8.224625ms,103.168µs,[1]
8.402208ms,115.208µs,430.791µs,7.056668ms,103.25µs,[1]
8.429459ms,115.042µs,437.917µs,7.04325ms,109.625µs,[1]
8.628292ms,117.458µs,429.166µs,7.217459ms,103.167µs,[1]
8.481584ms,115.459µs,436.291µs,7.112666ms,106.25µs,[1]
8.46025ms,116.875µs,426.791µs,7.100084ms,105.501µs,[1]
8.375042ms,114.75µs,425.375µs,7.040874ms,102.084µs,[1]
9.604458ms,115.25µs,597.583µs,8.066498ms,103.21µs,[1]
8.39225ms,115.458µs,439.5µs,7.036415ms,101.416µs,[1]
8.537542ms,130.125µs,486.5µs,7.09096ms,108.875µs,[1]
8.455916ms,115.209µs,431.083µs,7.090751ms,101.998µs,[1]
8.428167ms,118.75µs,428.208µs,7.041917ms,103.458µs,[1]
8.396375ms,115.584µs,429.042µs,7.04475ms,102.125µs,[1]
8.408667ms,116.459µs,426.166µs,7.05ms,101.081µs,[1]
9.625834ms,115.25µs,428.625µs,8.269997ms,104.751µs,[1]
8.432833ms,115.166µs,448.084µs,7.065959ms,102.581µs,[1]
8.426916ms,115.292µs,440.208µs,7.05029ms,102.001µs,[1]
8.43675ms,115.291µs,446.083µs,7.057543ms,101.75µs,[1]
8.413ms,115.708µs,425.625µs,7.054875ms,101.877µs,[1]
8.391625ms,118.625µs,425.916µs,7.031668ms,101.294µs,[1]
8.585542ms,115.25µs,433.792µs,7.212376ms,102.209µs,[1]
9.520834ms,115.209µs,434.958µs,8.167209ms,104.167µs,[1]
8.675125ms,115.166µs,453.125µs,7.280873ms,102.417µs,[1]
8.405542ms,115.666µs,433.833µs,7.048335ms,101.501µs,[1]
8.420917ms,118.375µs,429.417µs,7.061582ms,102.081µs,[1]
8.387666ms,115.542µs,432.75µs,7.031956ms,101.625µs,[1]
8.378167ms,115.292µs,425.583µs,7.039874ms,102.831µs,[1]
8.41225ms,116.083µs,429.792µs,7.039958ms,102.707µs,[1]
9.498833ms,115.625µs,437.625µs,8.113167ms,102.125µs,[1]
8.405958ms,115.5µs,434.208µs,7.0535ms,101.791µs,[1]
8.453833ms,115.708µs,432.458µs,7.078333ms,101.543µs,[1]
8.408167ms,115.291µs,429.917µs,7.038625ms,101.168µs,[1]
8.368958ms,117.375µs,428.5µs,7.03275ms,101.126µs,[1]
8.384166ms,119.708µs,429.042µs,7.039042ms,102.543µs,[1]
8.411292ms,115.167µs,440.875µs,7.035834ms,102.001µs,[1]
9.2445ms,115.292µs,1.225ms,7.091375ms,102.458µs,[1]
8.421834ms,115.25µs,436.625µs,7.041792ms,103.25µs,[1]
8.412166ms,115.792µs,431.291µs,7.045792ms,101.584µs,[1]
8.43675ms,115.292µs,430.459µs,7.089957ms,103.292µs,[1]
8.407375ms,115.083µs,435.042µs,7.05425ms,101.708µs,[1]
8.46175ms,117.416µs,438.916µs,7.042086ms,101.833µs,[1]
8.426292ms,116.125µs,440.084µs,7.062961ms,101.625µs,[1]
8.531917ms,118µs,529.959µs,7.080834ms,101.959µs,[1]
8.438333ms,115.208µs,429.542µs,7.076123ms,101.583µs,[1]
8.430416ms,114.958µs,428.25µs,7.087748ms,101.627µs,[1]
8.3975ms,115.375µs,425.583µs,7.062543ms,101.585µs,[1]
8.413917ms,115.167µs,434µs,7.066334ms,102.875µs,[1]
8.424458ms,115.167µs,428.834µs,7.067542ms,101.96µs,[1]
8.41475ms,117.667µs,428µs,7.063291ms,101.292µs,[1]
8.410958ms,115.834µs,430.792µs,7.045626ms,101.751µs,[1]
8.459416ms,114.959µs,425.542µs,7.092415ms,105.958µs,[1]
8.634125ms,115.375µs,430.041µs,7.273375ms,102.332µs,[1]
8.449375ms,115.25µs,432.333µs,7.082708ms,102.001µs,[1]
8.402167ms,115.583µs,430.417µs,7.059251ms,101.46µs,[1]
8.562458ms,115.333µs,522.666µs,7.091501ms,121.083µs,[1]
8.420917ms,114.75µs,458.125µs,7.052457ms,103.292µs,[1]
8.426834ms,119.042µs,431.375µs,7.05325ms,102.376µs,[1]
8.464125ms,115.75µs,430.209µs,7.082499ms,108.251µs,[1]
8.48125ms,115.125µs,473.291µs,7.071376ms,102.626µs,[1]
8.546541ms,117.75µs,428.875µs,7.129209ms,102.418µs,[1]
8.424916ms,115.125µs,431.042µs,7.057249ms,101.709µs,[1]
8.4435ms,115.542µs,460.625µs,7.073ms,103.416µs,[1]
8.485042ms,115.416µs,439.542µs,7.11129ms,102.291µs,[1]
8.44675ms,115.209µs,444.083µs,7.05225ms,102.082µs,[1]
8.401208ms,118.041µs,426.292µs,7.037122ms,101.582µs,[1]
8.422667ms,116.041µs,430.625µs,7.059499ms,104.835µs,[1]
8.411166ms,115.416µs,430.792µs,7.047208ms,114.751µs,[1]
8.450125ms,117.458µs,427.25µs,7.045165ms,101.875µs,[1]
8.468292ms,115.084µs,429.625µs,7.090998ms,102.582µs,[1]
8.394958ms,115.625µs,439.916µs,7.034543ms,101.166µs,[1]
8.434584ms,115.084µs,438.458µs,7.066458ms,102.499µs,[1]
8.479417ms,115.167µs,436.708µs,7.107335ms,102.999µs,[1]
8.418084ms,119.125µs,433.334µs,7.059541ms,102.543µs,[1]
8.432209ms,115.5µs,430.833µs,7.030915ms,102.583µs,[1]
8.438583ms,116.166µs,430.625µs,7.060666ms,109.751µs,[1]
8.752792ms,117.042µs,429.958µs,7.355168ms,102.581µs,[1]
8.559834ms,115.459µs,428.042µs,7.19975ms,102.459µs,[1]
8.422458ms,115.25µs,426.667µs,7.06725ms,101.625µs,[1]
8.435ms,115.292µs,428.958µs,7.075874ms,102.626µs,[1]
8.414042ms,117.958µs,430.417µs,7.052124ms,102.248µs,[1]
8.404333ms,115.917µs,429.458µs,7.039958ms,102.542µs,[1]
8.415458ms,115.416µs,429.167µs,7.033584ms,106.624µs,[1]
8.418833ms,114.875µs,440.791µs,7.044207ms,102.001µs,[1]
9.264ms,118.375µs,428.875µs,7.085958ms,103.501µs,[1]
8.410875ms,120.667µs,429.375µs,7.055084ms,101.459µs,[1]
8.438542ms,115.334µs,433.333µs,7.060999ms,101.917µs,[1]
8.443083ms,115.25µs,430.125µs,7.072917ms,103.083µs,[1]
8.4035ms,114.5µs,426.791µs,7.053958ms,102.626µs,[1]
8.418958ms,115.833µs,428.125µs,7.040956ms,102.167µs,[1]
8.4375ms,114.958µs,433.292µs,7.070082ms,102.375µs,[1]
8.420792ms,114.917µs,427.583µs,7.07575ms,102.916µs,[1]
8.493917ms,115.292µs,430.209µs,7.066792ms,102.334µs,[1]
8.463209ms,118.334µs,428.958µs,7.097169ms,102.086µs,[1]
8.428625ms,115.917µs,444.917µs,7.056791ms,109.793µs,[1]
8.450334ms,115.167µs,428.75µs,7.096251ms,101.044µs,[1]
8.438875ms,114.958µs,437.542µs,7.083499ms,102.374µs,[1]
8.428417ms,116.25µs,429.417µs,7.064749ms,103.041µs,[1]
8.417625ms,115.834µs,431.5µs,7.064248ms,101.959µs,[1]
8.412375ms,114.875µs,440.042µs,7.053832ms,101.917µs,[1]
8.459916ms,115.208µs,430.666µs,7.100293ms,102.835µs,[1]
8.4175ms,115.167µs,427.833µs,7.047292ms,101.334µs,[1]
8.382417ms,116.125µs,426.875µs,7.045293ms,100.668µs,[1]
8.42175ms,115.166µs,438.917µs,7.058375ms,101.96µs,[1]
8.418291ms,115µs,430.125µs,7.066587ms,102.835µs,[1]
9.620291ms,116.083µs,429µs,7.052207ms,104.417µs,[1]
8.470125ms,116.209µs,429.375µs,7.074459ms,101.917µs,[1]
8.450042ms,115.292µs,427.875µs,7.068458ms,122.207µs,[1]
8.469166ms,115.75µs,431.333µs,7.117126ms,101.92µs,[1]
8.406125ms,115.834µs,424.666µs,7.057293ms,101.375µs,[1]
8.398125ms,114.625µs,434.292µs,7.042335ms,102.168µs,[1]
8.469041ms,114.958µs,431.584µs,7.118872ms,101.581µs,[1]
9.682292ms,118.041µs,445.459µs,7.060082ms,103.041µs,[1]
8.413292ms,115.708µs,427.958µs,7.055876ms,101.209µs,[1]
8.460792ms,115.417µs,440.208µs,7.07279ms,102.707µs,[1]
8.41975ms,114.708µs,439.5µs,7.049001ms,101.583µs,[1]
8.419917ms,121.667µs,429.5µs,7.067876ms,102.125µs,[1]
8.454625ms,116.25µs,427.417µs,7.101458ms,102.625µs,[1]
8.402625ms,115.667µs,430.042µs,7.055041ms,102.042µs,[1]
9.206542ms,115.083µs,436.083µs,7.077002ms,102.124µs,[1]
8.421875ms,115.167µs,426.542µs,7.062668ms,101.378µs,[1]
8.415666ms,115.5µs,427.333µs,7.061124ms,103.043µs,[1]
8.472292ms,115.625µs,473.208µs,7.054835ms,104.665µs,[1]
8.39875ms,114.916µs,429.167µs,7.047708ms,103.542µs,[1]
8.507166ms,117.458µs,425.25µs,7.073836ms,122.501µs,[1]
8.600958ms,116.542µs,588.375µs,7.06425ms,101.208µs,[1]
9.127375ms,115.5µs,436.833µs,7.039ms,110.459µs,[1]
8.427875ms,115.291µs,432.917µs,7.074126ms,101.915µs,[1]
8.578792ms,115.125µs,441.792µs,7.194501ms,112.626µs,[1]
8.471542ms,116.417µs,429.458µs,7.030461ms,101.915µs,[1]
8.440667ms,115.542µs,430.667µs,7.067668ms,103.373µs,[1]
8.523083ms,115.166µs,433.166µs,7.153998ms,102.044µs,[1]
8.476708ms,115.458µs,428.125µs,7.121959ms,102.499µs,[1]
8.456667ms,114.792µs,426.167µs,7.104209ms,101.376µs,[1]
8.426958ms,115.625µs,426.167µs,7.063959ms,102.5µs,[1]
8.485042ms,115.416µs,435.667µs,7.130959ms,102.585µs,[1]
8.39275ms,114.917µs,427.75µs,7.040208ms,102.168µs,[1]
8.434167ms,115.333µs,445.25µs,7.018582ms,102.208µs,[1]
8.415334ms,114.75µs,429.209µs,7.052918ms,101.211µs,[1]
8.424458ms,114.709µs,427.958µs,7.059251ms,101.541µs,[1]
9.225625ms,115.083µs,427.917µs,7.079542ms,101.666µs,[1]
8.422334ms,114.792µs,428.667µs,7.034499ms,101.751µs,[1]
8.391166ms,115.334µs,429.75µs,7.049876ms,102.958µs,[1]
8.463834ms,115.209µs,441.375µs,7.067334ms,102.459µs,[1]
8.405292ms,115.375µs,427.875µs,7.05546ms,102.54µs,[1]
8.382417ms,115.458µs,430.958µs,7.033582ms,102.71µs,[1]
8.394375ms,115.125µs,444.708µs,7.029373ms,102.5µs,[1]
9.099625ms,114.875µs,435.375µs,7.061416ms,102.998µs,[0]
8.602917ms,115.583µs,426.167µs,7.142666ms,102.875µs,[1]
8.451916ms,115.125µs,427.917µs,7.09125ms,100.541µs,[1]
8.401583ms,115.75µs,427.5µs,7.047831ms,102.042µs,[1]
8.461833ms,115.25µs,429.75µs,7.099584ms,101.125µs,[1]
8.433917ms,115µs,457.792µs,7.071501ms,101.21µs,[1]
8.40725ms,115.208µs,426.709µs,7.055916ms,101.291µs,[1]
9.533875ms,116.125µs,445.75µs,8.163793ms,102.832µs,[1]
8.422ms,115.209µs,461µs,7.047793ms,102.375µs,[1]
8.478667ms,118µs,476.417µs,7.04075ms,102.251µs,[1]
8.716792ms,115.166µs,430.042µs,7.285749ms,102.582µs,[1]
8.424458ms,115.167µs,431.75µs,7.066751ms,105.833µs,[1]
8.437458ms,115.25µs,428.041µs,7.08521ms,101.248µs,[1]
8.38525ms,114.791µs,425.792µs,7.038583ms,101.627µs,[1]
9.365291ms,115.125µs,431.125µs,7.850459ms,104.042µs,[1]
8.412125ms,115.75µs,427.666µs,7.050209ms,101.416µs,[1]
8.632167ms,114.75µs,628.75µs,7.069377ms,106.876µs,[1]
8.519542ms,115.25µs,435.084µs,7.097459ms,101.709µs,[1]
8.388792ms,115.125µs,433.917µs,7.030875ms,100.622µs,[1]
8.396958ms,116.208µs,429.791µs,7.056375ms,101.457µs,[1]
8.486792ms,115.25µs,430.333µs,7.119334ms,102.624µs,[1]
9.557792ms,115.292µs,429.792µs,8.204959ms,103.833µs,[1]
8.410416ms,115.542µs,427µs,7.062876ms,101.291µs,[1]
8.413208ms,115.791µs,430.417µs,7.046917ms,102µs,[1]
8.418625ms,115.25µs,430.709µs,7.058584ms,101.416µs,[1]
8.834042ms,129.125µs,429.625µs,7.324457ms,159.584µs,[1]
8.398667ms,114.792µs,446.292µs,7.025711ms,102.624µs,[1]
8.457542ms,117µs,445.333µs,7.077625ms,107.501µs,[1]
9.543417ms,114.958µs,429.791µs,8.164584ms,104.917µs,[1]
8.41675ms,115.25µs,440.917µs,7.056165ms,102.542µs,[1]
8.412917ms,115.209µs,435.333µs,7.044375ms,102.042µs,[1]
8.422375ms,115.125µs,426.584µs,7.060748ms,101.375µs,[1]
8.412125ms,115.583µs,434.042µs,7.049043ms,100.667µs,[1]
8.396625ms,141.375µs,427.958µs,7.03521ms,101.79µs,[1]
8.413292ms,115.791µs,429.208µs,7.047042ms,101.125µs,[1]
9.094334ms,115.5µs,428.583µs,7.74675ms,103.086µs,[1]
8.46325ms,115.417µs,440.958µs,7.099334ms,101.916µs,[1]
8.41ms,114.667µs,429.25µs,7.047251ms,103.084µs,[1]
8.47ms,115.167µs,509.916µs,7.048791ms,101.793µs,[1]
8.41625ms,115.958µs,440.958µs,7.060542ms,102.789µs,[1]
8.399833ms,114.875µs,432.166µs,7.044334ms,101.206µs,[1]
8.505917ms,118.542µs,426.667µs,7.111749ms,103.207µs,[0]
9.192084ms,115.209µs,442.417µs,7.818543ms,102.959µs,[1]
8.413625ms,115.375µs,428.125µs,7.070165ms,101.417µs,[1]
8.483792ms,115.167µs,425.5µs,7.129415ms,102.333µs,[0]
8.445333ms,115.625µs,436.875µs,7.069418ms,101.415µs,[1]
8.393792ms,115.416µs,426.917µs,7.054417ms,103.96µs,[1]
8.477041ms,115.583µs,469.75µs,7.070627ms,102.582µs,[1]
8.393292ms,115µs,426.125µs,7.036416ms,102.457µs,[1]
8.449875ms,115.125µs,429.542µs,7.102375ms,103.168µs,[1]
8.413083ms,115.416µs,439.667µs,7.036499ms,103µs,[1]
8.395584ms,115.5µs,432.417µs,7.042083ms,101.542µs,[1]
8.457125ms,114.917µs,429.5µs,7.091291ms,101.164µs,[1]
8.395458ms,115.042µs,424.25µs,7.052875ms,101.416µs,[1]
8.377084ms,115.834µs,429.75µs,7.034793ms,102.208µs,[1]
8.43325ms,116.542µs,455.75µs,7.057294ms,101.918µs,[1]
8.447625ms,115.042µs,432.958µs,7.093668ms,102.293µs,[1]
8.474916ms,115.792µs,426.125µs,7.131376ms,101.666µs,[1]
8.429875ms,116.334µs,434.375µs,7.077293ms,102.293µs,[1]
8.415334ms,116.042µs,442.375µs,7.052124ms,102.499µs,[1]
8.43325ms,115.375µs,429.833µs,7.075041ms,102.166µs,[1]
8.401333ms,115.167µs,426.916µs,7.058666ms,102.582µs,[1]
8.398792ms,115.458µs,447.75µs,7.031334ms,102.833µs,[1]
8.399959ms,115.75µs,429.208µs,7.041334ms,104.835µs,[1]
8.39725ms,114.958µs,431.5µs,7.042626ms,102.376µs,[1]
8.427292ms,117.334µs,438.791µs,7.034583ms,101.252µs,[1]
8.420916ms,115.5µs,442.542µs,7.05121ms,102.625µs,[1]
8.40175ms,114.5µs,443.625µs,7.037584ms,101.419µs,[1]
8.418584ms,115.584µs,430.042µs,7.07329ms,102.666µs,[1]
8.664709ms,115.792µs,459.042µs,7.122334ms,102.248µs,[1]
