LookupTime,FSSTime,MultiplicationTime,RotationTime,AdditionTime,o
10.441542ms,116.958µs,503µs,7.872583ms,105.499µs,[1]
8.724833ms,116.584µs,451.542µs,7.181166ms,102.625µs,[1]
8.562542ms,119.792µs,452.75µs,7.095333ms,102.125µs,[1]
8.810584ms,116µs,444.792µs,7.212542ms,101.499µs,[1]
8.52175ms,120.041µs,442.458µs,7.128666ms,101.168µs,[1]
8.954875ms,115.375µs,491.042µs,7.369041ms,104.667µs,[1]
8.949ms,115.291µs,479.125µs,7.367458ms,105.501µs,[1]
10.720166ms,119.542µs,459µs,9.223917ms,104.666µs,[1]
8.870167ms,116.167µs,431.083µs,7.153168ms,103.333µs,[1]
8.597125ms,115.292µs,429.083µs,7.228166ms,102.583µs,[1]
8.751916ms,115.125µs,552.042µs,7.181583ms,108.335µs,[1]
8.716291ms,115.041µs,428.083µs,7.273708ms,102.625µs,[1]
8.673791ms,115.541µs,457.084µs,7.194791ms,102.667µs,[1]
9.66875ms,115.375µs,450.917µs,7.194292ms,102.209µs,[1]
8.464083ms,116.292µs,438.541µs,7.062625ms,102.039µs,[1]
8.648208ms,115.375µs,442.125µs,7.271875ms,103.042µs,[1]
8.53275ms,115.5µs,457.667µs,7.047624ms,101.376µs,[1]
8.424792ms,115.5µs,427.125µs,7.061127ms,103.875µs,[1]
8.525084ms,115.458µs,537.958µs,7.067294ms,102.584µs,[1]
8.503708ms,115.041µs,432.25µs,7.126584ms,103.958µs,[1]
9.4225ms,115.542µs,435.667µs,8.065584ms,103.249µs,[1]
8.462416ms,115.958µs,438.792µs,7.059376ms,102.25µs,[1]
8.488333ms,117.292µs,432.625µs,7.109957ms,102.04µs,[1]
8.541375ms,117.916µs,439.041µs,7.155876ms,103.959µs,[1]
8.81575ms,116.583µs,432.875µs,7.282249ms,103.418µs,[1]
8.430292ms,115.417µs,456.375µs,7.049832ms,110.085µs,[1]
9.44875ms,119.708µs,441.167µs,7.057459ms,100.916µs,[1]
8.485375ms,115.709µs,457.458µs,7.080794ms,102.333µs,[1]
8.423083ms,115.667µs,432.583µs,7.06146ms,102.459µs,[1]
8.473916ms,117.459µs,431.042µs,7.05825ms,101.664µs,[1]
8.389291ms,115.5µs,427.958µs,7.037792ms,101.291µs,[1]
8.437834ms,115.458µs,430.834µs,7.080625ms,101.417µs,[1]
8.519125ms,115.542µs,433.917µs,7.159461ms,103.081µs,[1]
9.449125ms,115.291µs,444.875µs,8.07154ms,104.374µs,[1]
8.385875ms,114.958µs,424.5µs,7.047293ms,101.876µs,[1]
8.444625ms,118.5µs,454.125µs,7.058501ms,101.918µs,[1]
8.408708ms,115.292µs,429.709µs,7.051668ms,102.876µs,[1]
