LookupTime,FSSTime,MultiplicationTime,RotationTime,AdditionTime,o
8.426416ms,114.916µs,432.084µs,7.074332ms,103.999µs,[1]
8.389375ms,114.959µs,430.083µs,7.04396ms,102.001µs,[1]
8.446541ms,115.833µs,434.791µs,7.092875ms,101.498µs,[1]
8.411542ms,115µs,437.25µs,7.051291ms,111.498µs,[1]
8.557625ms,118.875µs,431.542µs,7.156793ms,103.04µs,[1]
8.431625ms,115.208µs,428.25µs,7.07175ms,101.626µs,[1]
8.405667ms,115.292µs,435.5µs,7.046125ms,101.75µs,[1]
8.512125ms,116.125µs,434.042µs,7.134209ms,104.585µs,[1]
8.453333ms,114.709µs,430.042µs,7.101666ms,101.999µs,[1]
8.389042ms,115.375µs,429.417µs,7.03654ms,101.915µs,[1]
8.42725ms,115.167µs,432.125µs,7.059459ms,102.127µs,[1]
8.427292ms,115.042µs,426.917µs,7.081376ms,112.583µs,[1]
8.468542ms,115.75µs,428.917µs,7.110751ms,101.916µs,[1]
8.407458ms,115.125µs,431.167µs,7.052085ms,101.624µs,[1]
8.415458ms,115.375µs,436µs,7.037543ms,119.5µs,[1]
8.426166ms,114.75µs,428µs,7.075623ms,103.5µs,[1]
8.464792ms,115.458µs,432.083µs,7.113376ms,106.126µs,[1]
8.466625ms,117.583µs,464.042µs,7.053541ms,101.375µs,[1]
8.447125ms,115.625µs,452.542µs,7.057251ms,101.998µs,[1]
8.394709ms,114.541µs,424.875µs,7.046544ms,101.21µs,[1]
8.4625ms,117.333µs,428.25µs,7.09696ms,101.583µs,[1]
8.473125ms,114.791µs,455.75µs,7.059459ms,102.5µs,[1]
8.750083ms,115.458µs,437.166µs,7.374874ms,103.791µs,[1]
8.502041ms,115.667µs,515.583µs,7.069959ms,104.917µs,[1]
8.468625ms,115.625µs,433.5µs,7.101291ms,104.583µs,[1]
8.38775ms,118.917µs,430.333µs,7.033375ms,102.708µs,[1]
8.481041ms,115.791µs,431.708µs,7.114541ms,102.586µs,[1]
8.501083ms,114.667µs,430.625µs,7.111209ms,101.835µs,[1]
8.423209ms,115.833µs,428.209µs,7.067291ms,103.002µs,[1]
8.409375ms,115.584µs,432.375µs,7.057874ms,101.419µs,[1]
8.444708ms,115.5µs,427.084µs,7.09021ms,107.667µs,[1]
8.445209ms,115.084µs,427.708µs,7.104169ms,101.791µs,[1]
8.413875ms,114.333µs,429.5µs,7.039999ms,102.419µs,[1]
8.442292ms,116.792µs,442.875µs,7.041625ms,102.709µs,[1]
8.475916ms,115.333µs,429.875µs,7.089124ms,116.999µs,[1]
8.450834ms,114.833µs,433.458µs,7.084707ms,102.791µs,[1]
8.423083ms,116.333µs,428.083µs,7.078957ms,101.999µs,[1]
8.417ms,115.125µs,436.208µs,7.056374ms,101.876µs,[1]
8.44ms,115.041µs,428.209µs,7.095667ms,103.626µs,[1]
8.46125ms,114.875µs,447.5µs,7.080459ms,106.376µs,[1]
8.44175ms,115.125µs,431.5µs,7.083458ms,102.083µs,[1]
8.432041ms,117.459µs,451.667µs,7.043582ms,103.999µs,[1]
8.475125ms,115.333µs,429.875µs,7.095542ms,101µs,[1]
8.421209ms,114.667µs,428.875µs,7.0635ms,101.875µs,[1]
8.534625ms,115.541µs,430.083µs,7.119375ms,103.623µs,[1]
8.398959ms,115µs,437.542µs,7.04775ms,102.374µs,[1]
9.417625ms,115.334µs,431.791µs,8.065708ms,103.25µs,[1]
8.470583ms,114.833µs,428.417µs,7.112252ms,101.917µs,[1]
8.43175ms,115µs,430.625µs,7.062418ms,101.54µs,[1]
8.498083ms,117.291µs,433.208µs,7.076501ms,102.751µs,[1]
8.407083ms,114.958µs,428.791µs,7.049583ms,102.335µs,[1]
8.391959ms,114.792µs,427.875µs,7.045251ms,103.167µs,[1]
8.4865ms,115.708µs,429.75µs,7.113167ms,104.041µs,[1]
9.410209ms,115.042µs,434.208µs,8.060042ms,103.292µs,[1]
8.42175ms,117.833µs,437.375µs,7.05679ms,102.001µs,[1]
8.467125ms,114.75µs,430.25µs,7.10171ms,102.042µs,[1]
8.448542ms,115.042µs,428.167µs,7.084749ms,102.54µs,[1]
8.462208ms,115.5µs,448.208µs,7.079417ms,103.124µs,[1]
8.439916ms,114.958µs,428.042µs,7.08571ms,101.751µs,[1]
8.400125ms,114.458µs,429.792µs,7.037958ms,104.167µs,[1]
9.189ms,115µs,434.084µs,7.813542ms,115.875µs,[1]
8.414625ms,115.125µs,427.875µs,7.053875ms,102.836µs,[1]
8.434834ms,115.125µs,428.209µs,7.079417ms,105.709µs,[1]
8.620916ms,114.75µs,545.292µs,7.135127ms,101.708µs,[1]
8.434042ms,115.625µs,447.334µs,7.062793ms,105.125µs,[1]
8.51225ms,115.5µs,428.833µs,7.029416ms,103.248µs,[1]
8.599375ms,115.375µs,613.292µs,7.056208ms,102.917µs,[1]
8.4155ms,115.208µs,426.917µs,7.063584ms,101.792µs,[1]
8.478959ms,115µs,430.334µs,7.091875ms,101.875µs,[1]
8.396666ms,115.292µs,427.75µs,7.054251ms,101.585µs,[1]
8.47725ms,115.542µs,430.958µs,7.089001ms,105.042µs,[1]
8.462708ms,117.166µs,432.917µs,7.092502ms,105.334µs,[1]
8.378959ms,115.417µs,428.75µs,7.042208ms,101.291µs,[1]
8.412292ms,115µs,428.292µs,7.033752ms,103.167µs,[1]
8.439083ms,115.959µs,429.042µs,7.061251ms,102.497µs,[1]
8.436667ms,115.667µs,430.75µs,7.083332ms,101.75µs,[1]
8.509ms,115.5µs,439.416µs,7.133791ms,102.874µs,[1]
8.431125ms,115.458µs,431.917µs,7.062792ms,101.624µs,[1]
8.391792ms,115.417µs,434.875µs,7.034502ms,101.706µs,[1]
8.454542ms,115.208µs,430.333µs,7.102625ms,104.125µs,[1]
8.405041ms,115.25µs,429.583µs,7.059125ms,101.167µs,[1]
8.504041ms,115.709µs,428.5µs,7.135334ms,102.79µs,[1]
8.430958ms,115.458µs,436.042µs,7.047707ms,102.708µs,[1]
8.435958ms,114.792µs,437.584µs,7.086459ms,102.749µs,[1]
8.526959ms,116µs,426.667µs,7.162124ms,103.835µs,[1]
8.491458ms,115.167µs,429.625µs,7.126083ms,102.878µs,[1]
8.408708ms,115.833µs,429.833µs,7.054626ms,103µs,[1]
8.440625ms,115.208µs,426.792µs,7.09121ms,102.875µs,[1]
8.480208ms,117.291µs,426µs,7.114709ms,103.419µs,[1]
8.6515ms,119.792µs,429.666µs,7.262332ms,106.083µs,[1]
8.522625ms,115.958µs,446.458µs,7.136ms,104.082µs,[1]
8.437375ms,115.125µs,432.916µs,7.067123ms,102.333µs,[1]
8.613291ms,115.958µs,429.959µs,7.237334ms,107.834µs,[1]
8.533166ms,116.375µs,428µs,7.176917ms,104.127µs,[1]
8.456209ms,116µs,434.541µs,7.08775ms,103.418µs,[1]
8.491791ms,115.875µs,451.208µs,7.100042ms,107.252µs,[1]
8.419ms,114.875µs,428.917µs,7.057292ms,102.376µs,[1]
8.510708ms,118µs,425.666µs,7.0805ms,105.5µs,[1]
8.413292ms,115µs,427.792µs,7.047542ms,102.625µs,[1]
8.407166ms,115.292µs,434.792µs,7.053747ms,102.999µs,[1]
8.446709ms,115.458µs,428.042µs,7.085877ms,102.834µs,[1]
8.439792ms,117.083µs,424.125µs,7.086124ms,101.207µs,[1]
8.40425ms,115.417µs,425.25µs,7.055667ms,101.873µs,[1]
8.485ms,116.708µs,432.666µs,7.13129ms,102.625µs,[1]
8.434958ms,114.875µs,430.959µs,7.078209ms,105.666µs,[1]
8.483791ms,118.125µs,436.542µs,7.099626ms,102.623µs,[1]
8.405083ms,115.417µs,431.958µs,7.034168ms,103.457µs,[1]
8.423625ms,114.958µs,428.041µs,7.060459ms,103.126µs,[1]
9.496792ms,115.208µs,427.125µs,7.106708ms,101.501µs,[1]
8.420875ms,115.083µs,428.917µs,7.060459ms,101.793µs,[1]
8.421875ms,115.333µs,430.75µs,7.064541ms,103.167µs,[1]
8.434542ms,115µs,437.042µs,7.081123ms,104.083µs,[1]
8.440125ms,115µs,428.791µs,7.067126ms,102.75µs,[1]
8.412833ms,115.958µs,427.667µs,7.06125ms,101.79µs,[1]
8.484333ms,121.417µs,431.375µs,7.11454ms,102.746µs,[1]
8.399625ms,115µs,426.625µs,7.049374ms,102.459µs,[1]
8.4495ms,115.208µs,431.25µs,7.095793ms,102.375µs,[1]
8.486417ms,116.291µs,425.625µs,7.126043ms,102.792µs,[1]
8.408625ms,114.959µs,431.834µs,7.048959ms,101.916µs,[1]
8.432959ms,115.125µs,431.292µs,7.073624ms,106.459µs,[1]
8.416833ms,114.292µs,427.375µs,7.062833ms,101.835µs,[1]
8.464791ms,115.791µs,426.292µs,7.075249ms,105.167µs,[1]
8.440333ms,115.042µs,425.084µs,7.078082ms,103.585µs,[1]
8.407792ms,114.959µs,433.458µs,7.054082ms,101.251µs,[1]
8.458291ms,116.416µs,432.375µs,7.077668ms,102.082µs,[1]
8.411792ms,115.209µs,429.25µs,7.0545ms,101.873µs,[1]
8.387ms,114.875µs,438.084µs,7.034125ms,101.333µs,[1]
8.425458ms,114.791µs,431.625µs,7.08125ms,101.833µs,[1]
8.412666ms,114.5µs,427.25µs,7.046373ms,102.376µs,[1]
1.751215409s
