LookupTime,FSSTime,MultiplicationTime,RotationTime,AdditionTime,o
13.184916ms,124µs,497.625µs,11.530666ms,118.626µs,[1]
9.58775ms,149.709µs,460.084µs,7.954335ms,106.5µs,[1]
10.242208ms,192.458µs,463.666µs,8.472167ms,157.501µs,[1]
17.578209ms,123.125µs,1.269583ms,14.021915ms,137.084µs,[1]
8.961917ms,117.875µs,455.834µs,7.402042ms,104.791µs,[1]
9.478458ms,116.333µs,507.916µs,7.8265ms,126.709µs,[1]
9.07875ms,116.042µs,474.791µs,7.492166ms,104.999µs,[1]
10.237917ms,115.5µs,2.129ms,7.158582ms,107.124µs,[1]
8.450583ms,115µs,431.5µs,7.071041ms,103.917µs,[1]
8.489875ms,115.542µs,429.667µs,7.102709ms,104.75µs,[1]
8.465708ms,115.834µs,438.333µs,7.060542ms,103.291µs,[1]
8.51975ms,115.75µs,432.292µs,7.105041ms,102.958µs,[1]
8.827083ms,115.833µs,508.084µs,7.305832ms,102.708µs,[1]
8.600541ms,115.25µs,448.833µs,7.188ms,102.459µs,[1]
8.442959ms,116.459µs,430.834µs,7.070626ms,103.457µs,[1]
8.510583ms,115.583µs,455.167µs,7.090208ms,103.875µs,[1]
8.425292ms,115.208µs,432.292µs,7.064626ms,102.915µs,[1]
8.681667ms,117.708µs,430µs,7.247958ms,104.042µs,[1]
8.513708ms,115.292µs,432.25µs,7.09579ms,101.833µs,[1]
8.395167ms,115.125µs,428.417µs,7.051874ms,102.75µs,[1]
9.942666ms,115.125µs,426.875µs,7.2655ms,157.125µs,[1]
8.424833ms,114.709µs,429µs,7.071499ms,102.541µs,[1]
8.418125ms,115.917µs,444.5µs,7.05454ms,102.832µs,[1]
8.432625ms,115.083µs,427µs,7.067542ms,102.167µs,[1]
8.457ms,115.042µs,430.25µs,7.091292ms,104.211µs,[1]
8.577167ms,115.5µs,476.334µs,7.09325ms,104.581µs,[1]
8.423334ms,115.333µs,430µs,7.049705ms,101.542µs,[1]
10.061834ms,115.375µs,428.208µs,7.288501ms,105.125µs,[1]
8.943958ms,122µs,496.458µs,7.415624ms,106.666µs,[1]
8.440166ms,117.834µs,438.041µs,7.073833ms,102.459µs,[1]
8.736791ms,115.833µs,433.917µs,7.219501ms,141.792µs,[1]
8.443167ms,115.292µs,431.625µs,7.078002ms,102.252µs,[1]
8.481958ms,115.084µs,428.416µs,7.133042ms,104.207µs,[1]
8.459833ms,117.667µs,429.583µs,7.108875ms,104.584µs,[1]
10.721375ms,115.584µs,637.541µs,9.150795ms,104.166µs,[1]
8.396208ms,118.25µs,427.25µs,7.048166ms,101.333µs,[1]
8.452041ms,114.958µs,431µs,7.08025ms,104.374µs,[1]
8.412542ms,114.834µs,434.542µs,7.05304ms,103.084µs,[1]
8.701875ms,115.75µs,426.708µs,7.343707ms,106.541µs,[1]
8.415959ms,116.333µs,435.417µs,7.055584ms,103.498µs,[1]
8.421375ms,114.958µs,427.5µs,7.067085ms,103.293µs,[1]
10.092125ms,115.542µs,750.75µs,8.421914ms,104.71µs,[1]
8.442292ms,114.708µs,428.083µs,7.089793ms,101.958µs,[1]
8.426292ms,115.875µs,432.208µs,7.057918ms,102.54µs,[1]
8.5ms,114.708µs,432.084µs,7.132625ms,102.581µs,[1]
8.417833ms,115.75µs,437.708µs,7.051208ms,104.294µs,[1]
8.439834ms,115.083µs,427.209µs,7.088417ms,101.707µs,[1]
8.425125ms,114.417µs,425.75µs,7.05671ms,101.541µs,[1]
9.257667ms,115.667µs,475.292µs,7.857458ms,104.375µs,[1]
8.446375ms,114.958µs,432.916µs,7.101667ms,103.919µs,[1]
8.4485ms,114.333µs,444.958µs,7.072002ms,102.46µs,[1]
8.407208ms,118.417µs,429.917µs,7.050499ms,101.664µs,[1]
8.471792ms,115.25µs,432.917µs,7.112791ms,103.251µs,[1]
8.406958ms,114.875µs,426.084µs,7.064625ms,101.918µs,[1]
8.531ms,114.917µs,429.667µs,7.142875ms,103.417µs,[1]
9.247916ms,115.583µs,1.24025ms,7.082959ms,103.334µs,[1]
8.428ms,173.125µs,430.958µs,7.069166ms,103.292µs,[1]
8.445417ms,114.792µs,427.208µs,7.08779ms,103.751µs,[1]
8.493ms,116.292µs,436.792µs,7.135084ms,104.749µs,[1]
8.49425ms,119.166µs,427.083µs,7.127669ms,104.085µs,[1]
8.398792ms,115.75µs,428.583µs,7.042165ms,100.75µs,[1]
8.4285ms,114.791µs,429.167µs,7.077583ms,102.958µs,[1]
8.565792ms,116.5µs,442.709µs,7.189ms,107.458µs,[1]
8.422833ms,115.25µs,429.625µs,7.065373ms,103.75µs,[1]
8.40425ms,114.708µs,425.334µs,7.046334ms,102.582µs,[1]
8.465583ms,115.166µs,435.75µs,7.112416ms,102.751µs,[1]
8.399834ms,114.458µs,427.125µs,7.06021ms,105.333µs,[1]
8.811542ms,118.791µs,426.333µs,7.374293ms,109.333µs,[1]
8.471959ms,115.375µs,443.083µs,7.095709ms,100.873µs,[1]
8.410958ms,114.666µs,427.417µs,7.065458ms,101.417µs,[1]
8.512709ms,115.375µs,433.292µs,7.152456ms,104.957µs,[1]
